base_subject,base_field,target_subject,target_field,mappings
celestial bodies,Astronomy,rocks,Geology,"Stars : Igneous Rocks
Planets : Sedimentary Rocks
Comets : Metamorphic Rocks
Asteroids : Minerals
Nebulae : Fossils"
atomic structure,Chemistry,musical scales,Music,"Protons : Notes
Neutrons : Harmonies
Electrons : Melodies
Atom : Musical Composition
Nucleus : Octave"
stars,Astronomy,plants,Ecology,"Nuclear fusion : Photosynthesis
Gravitational pull : Pollination
Luminosity : Respiration
Light : Sunlight
Mass : Nutrients"
cell structure,Biology,planetary structure,Astronomy,"Nucleus : Core
Cell Membrane : Atmosphere
Organelles : Moons
Ribosomes : Asteroids
Mitochondria : Magnetic Field"
electromagnetism,Physics,weather systems,Meteorology,"Electric field : Pressure gradient
Magnetic field : Coriolis force
Electric current : Wind
Voltage : Temperature
Inductance : Humidity"
solar system,Astronomy,food web,Ecology,"Sun : Producers
Planets : Primary consumers
Asteroids : Secondary consumers
Meteors : Tertiary consumers
Moons : Decomposers"
energy,Physics,currency,Economics,"Potential energy : savings
Kinetic energy : circulating funds
Momentum : exchange rate
Conservation of energy : economic stability
Energy conversion : currency conversion"
cell division,Biology,product development,Business,"Chromosomes : Ideas
Mitosis : Research
Cytokinesis : Design
DNA : Prototype
Cell Membranes : Quality Control"
lenses,Optics,telescopes,Astronomy,"Focal length : Magnification
Aperture : Objective lens
Lens shape : Focal length
Index of refraction : Light-gathering power
Optical coatings : Alignment accuracy"
planets,Astronomy,elements,Chemistry,"Orbit : Atomic Number
Mass : Atomic Mass
Size : State of Matter
Distance from Sun : Bonding Type
Surface : Chemical Properties"
philosophy of existence,Metaphysics,universe expansion,Astrophysics,"Concept of being : Hubble's Law
Ontology : Big Bang Theory
Existence : Dark Energy
Identity : Cosmic Microwave Background
Matter : Redshift"
memory,Neuroscience,oral tradition,Comparative Literature,"Encoding : Storytelling
Storage : Preservation
Retrieval : Re-telling
Amnesia : Loss of Tradition
Forgetting : Obscurity"
chemical reaction,Chemistry,food web,Ecology,"Reactants : Primary Producers
Products : Consumers
Catalyst : Predator
Enzyme : Prey
Activation Energy : Competition"
solar system,Astronomy,geological strata,Geology,"Sun : Core
Planets : Layers
Moons : Satellites
Asteroids : Particles
Comets : Dust"
landforms,Geography,celestial bodies,Astronomy,"Mountains : Asteroids
Plateaus : Planets
Valleys : Moons
Deserts : Comets
Islands : Stars"
solar system,Astronomy,tectonic plates,Geology,"Planets : Continents
Sun : Mantle
Gravity : Plate Boundaries
Orbits : Seafloor Spreading
Asteroids : Volcanic Activity"
star systems,Astronomy,rock formation,Geology,"Celestial bodies : Earth's crust
Planetary orbits : Fault lines
Gravity : Earthquakes
Nebula : Volcanic eruptions
Galaxy : Mountains"
planets in the solar system,Astronomy,countries in Europe,Geography,"Sun : Europe
Mercury : France
Venus : Germany
Earth : United Kingdom
Mars : Italy
Jupiter : Spain"
celestial bodies,Astronomy,minerals,Geology,"Planets : rocks
Stars : ores
Asteroids : gemstones
Comets : crystals
Meteors : sedimentary deposits"
social network,Sociology,river network,Geography,"People : Sources
Mutual relationships : Tributaries
Friendships : Main Rivers
Messages : Water
Personal conversations : Streams"
gene expression,Genetics,social behavior,Sociology,"Genes : Cultural Norms
DNA : Social Customs
Transcription : Socialization
Translation : Interaction
Protein : Attitudes"
acid-base reactions,Chemistry,rock weathering,Geology,"Acid : Acid Rain
Base : Carbon Dioxide
Reaction : Chemical Reaction
Products : Weathered Rocks
Reactants : Minerals"
rocket,Aerospace Engineering,wave-particle duality,Quantum Mechanics,"Fuel : energy
Combustion : wave-particle duality
Thrust : wave function
Spacecraft : particle
Trajectory : probability"
food chain,Ecology,star system,Astronomy,"Producers : Stars 
Consumers : Planets 
Decomposers : Asteroids 
Energy : Radiation 
Food : Resources"
emotion,Psychology,melody,Music,"Happiness : Upbeat
Sadness : Slow
Anger : Minor Key
Fear : High Pitched
Surprise : Unexpected Rhythms"
star formation,Astronomy,chemical reactions,Chemistry,"Gravity : Attraction
Molecular clouds : Reagents
Nebula : Solution
Nuclear fusion : Combination
Hydrogen atoms : Molecules"
genetics,Biology,marketing,Business,"Gene : Target Audience
Chromosomes : Advertising Platforms
DNA : Brand Identity
Heredity : Brand Loyalty
Mutation : Response to Advertisement"
planets,Astrophysics,rocks,Geology,"Moons : Sediments
Solar System : Plate Tectonics
Gravity : Erosion
Atmosphere : Weathering
Core : Igneous Rocks"
atomic structure,Chemistry,mineral formation,Geology,"Protons : Elements
Electrons : Compounds
Nucleus : Crystals
Atoms : Minerals
Molecules : Rocks"
weather forecast,Meteorology,star chart,Astronomy,"Forecast : Map
Clouds : Stars
Temperature : Magnitude
Wind : Direction
Rain : Constellations"
sedimentary rock,Geology,stars,Astronomy,"Particles : Hydrogen and Helium
Weathering : Nuclear Fusion
Stratification : Radiation
Pressure : Gravity
Erosion : Expansion"
planetary orbits,Astronomy,rock formation,Geology,"Gravitational force : erosion
Planetary bodies : sediment
Elliptical orbits : deposition
Orbital period : uplift
Distance from the Sun : pressure"
DNA,Genetics,Algorithm,Computer Science,"Gene : Code
Genome : Program
Chromosome : Process
Replication : Iteration
Mutation : Modification"
DNA,Biology,Binary Code,Computer Science,"Base Pairs : Bits
Nucleotides : Bytes
Gene : Program
Chromosome : Software
Replication : Copying"
food chain,Ecology,social hierarchy,Sociology,"Producers : Leaders
Consumers : Followers
Predators : Dominant Individuals
Prey : Subordinate Individuals
Biomass : Social Structure"
gene mutation,Genetics,star formation,Astronomy,"DNA : interstellar gas clouds
Mutation : gravitational collapse
Genotype : protostar
Phenotype : main-sequence star
Chromosomes : stellar nebula"
DNA,Genetics,Data structure,Data Science,"Gene : Attribute
Mutation : Change
Chromosome : Database
Base pairs : Records
Replication : Duplication"
star formation,Astronomy,gene mutation,Genetics,"Nebula : DNA
Clouds of gas/dust : Chromosomes
Gravitational collapse : Replication
Nuclear fusion : Mutations
Protostar : Alleles"
