source_id,source_subject,source_text,target_subject,target_domain,target_text,target_mappings
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",How do chemical reactions cause erosion?,Chemistry,"A chemical reaction occurs when a base and an acid are combined.
The acid breaks down the base, releasing particles that can be carried away.
The reaction can be accelerated by heat, or by adding a catalyst to the reaction.
The particles are then carried away by the wind or water.
The reaction can cause changes in the composition of the materials it is acting on.","water and particles : base and acid
wind and current : heat and catalyst
rocks and sand : particles
waves : wind or water"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",How does the electrical grid work?,Electrical Engineering,"Electricity is generated by a power plant and sent over power lines.
The electricity is then distributed to homes and businesses.
The electricity is used to power appliances, lights, and other devices.
The unused electricity is then sent back to the power plant.
The power plant then stores the electricity in a battery or sends it back to the grid.
The electricity is then sent back out to homes and businesses through the same power lines.","Water : Electricity
Oceans, lakes, swamps, rivers, and plants : Power plant
Water vapor : Electricity over power lines
Clouds : Homes and businesses
Rain or snow : Appliances, lights, and other devices
Precipitation : Battery or grid
Plants : Power lines"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",How does a refrigeration cycle work?,Mechanical Engineering,"Heat is generated from a combustion process.
The heat causes a liquid to evaporate into gas.
The gas is then compressed and cooled,
causing it to condense back into a liquid.
The liquid is then stored in a tank and can be used for a variety of applications.","water vapor : gas
clouds : compressed and cooled
precipitation : stored in a tank
plants : variety of applications
vapor : liquid"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",How does a chemical reactor work?,Chemical Engineering,"A chemical reaction takes place in a reactor.
The heat generated by the reaction causes the reactants to break down.
The reaction products then condense on the walls of the reactor.
The condensate is then collected and processed.
The processed products are then separated and collected.
The separated products can then be used to create new products.","Water : Reactants
Vapor : Heat
Droplets : Reaction Products
Precipitation : Condensate
Ground : Reactor
Rivers : Separated Products
Plants : New Products"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",How does the greenhouse effect work?,Physics,"Light from the sun enters the atmosphere.
The light is scattered and absorbed by particles in the atmosphere.
The particles are heated and release thermal energy.
The thermal energy is trapped in the atmosphere by the greenhouse effect.
The atmosphere warms and causes the air to rise.
The rising air cools and forms clouds.
The clouds release precipitation, which returns to the ground in the form of rain or snow.","water vapor : light
clouds : particles
precipitation : thermal energy
ground : atmosphere
plants : greenhouse effect
vapor : air"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",What happens during the water cycle in organisms?,Biology,"Organisms take in water from the environment, either through drinking or absorbing it through their skin or other body parts.
The organism's cells use the water, and some of it is converted into energy.
The energy is used to fuel the organism's metabolism and activities.
The waste products of the organism's metabolism, such as carbon dioxide and water, are expelled through respiration and excretion.
The expelled water is then reabsorbed into the environment, completing the cycle.","water from oceans, lakes, swamps, rivers, and plants : water from the environment
water vapor : expelled water
clouds : organism's cells
rain/snow : energy
ground : respiration and excretion
plants : organism"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",How does a chemical reaction pathway work?,Chemistry,"A chemical reaction produces products.
The products react with the environment to form new compounds.
The compounds undergo a series of reactions, called a reaction pathway.
The reaction pathway leads to the formation of new compounds and the release of energy.
The energy is either released as heat or used to break down the compounds into smaller molecules.
The smaller molecules can then react with other compounds to form new compounds, beginning the cycle again.","water vapor : products
clouds : environment
rain or snow : reactions
ground : reaction pathway
ponds, lakes, or oceans : energy
plants : compounds"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",How does a solar panel system work? ,Electrical Engineering,"Electrons are generated from solar panels when sunlight hits them.
The electrons are sent to an inverter which converts the direct current into an alternating current.
The alternating current is then fed into the electrical grid or stored for later use.
The grid then distributes the energy to consumers.","Water : electrons
Oceans, lakes, rivers, swamps, plants : solar panels
Water vapor : inverter
Clouds : electrical grid
Rain, snow : consumers"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",How does the fuel cycle work?,Mechanical Engineering,"Oil is pumped from the ground by wells.
The oil is transported to a refinery.
At the refinery, the oil is heated and separated into different types of fuel.
The fuel is then transported to gas stations.
The fuel is used in engines to provide power, and the resulting exhaust is released into the atmosphere.","Water : Oil
Vapor : Wells
Clouds : Refinery
Rain/Snow : Fuel
Ground : Gas Stations
Streams/Oceans : Atmosphere"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",How does a heat engine work?,Chemical Engineering,"Fuel is burned in an engine, releasing energy.
The energy is used to turn a turbine, which creates heat.
The heat is then used to convert liquid into a gas in a process known as vaporization.
The gas is then cooled in a condenser, which causes it to become a liquid again.
This liquid is then reused in the engine to produce more energy.","Water : Fuel
Water vapor : Gas
Water droplets : Liquid
Clouds : Turbine
Ground : Condenser"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",What happens during the atmospheric circulation?,Physics,"Light from the Sun enters Earth's atmosphere.
The light is scattered and absorbed by the air molecules, heating up the air.
The warm air rises, and cools as it moves higher in the atmosphere.
The cooling air condenses into clouds and falls back to Earth as precipitation.","water : light
water vapor : air molecules
clouds : clouds
rain/snow : precipitation
ground : Earth"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",How does respiration contribute to the water cycle?,Biology,"Organisms take in oxygen from the air.
Oxygen is transported through the body with the help of the circulatory system.
Oxygen molecules are exchanged in the capillaries and cells.
Carbon dioxide is released as a byproduct and exhaled back into the environment.
Some oxygen molecules combine with water molecules to form rain.","Water vapor : Oxygen
Clouds : Body
Rain or Snow : Carbon Dioxide
Ground : Capillaries and Cells
Streams : Exhaled Oxygen"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",What happens during the hydrological cycle?,Chemistry,"Chemicals from the atmosphere, soil, and water mix together to form compounds.
The compounds form particles that condense in clouds.
The particles become heavier and fall as precipitation.
The precipitation can be absorbed into the ground, evaporate, or run off into bodies of water.
The evaporated water is then re-released into the atmosphere.","water vapor : chemicals
water droplets : particles
rain or snow : precipitation
ground : ground
rivers and oceans : bodies of water"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",How does electricity flow through a power grid?,Electrical Engineering,"Electricity is generated from a power plant.
The electricity is sent out over transmission lines.
The electricity is used by consumers in homes, businesses, and other places.
The unused electricity is sent back to the power plant,
where it is then stored in batteries for later use.","Water : Electricity
Earth : Power Plant
Sky : Transmission Lines
Clouds : Consumers
Rain/Snow : Batteries"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",How does the hydrologic cycle work?,Mechanical Engineering,"Heat is generated by a fuel source.
The heat causes the air around the fuel source to rise.
The warmer air accumulates in the sky, forming clouds.
As the air cools, the clouds become heavier.
The clouds release their water as rain or snow.
The water then evaporates again into the air and the cycle is repeated.","Water : Heat
Oceans : Fuel source
Clouds : Air
Rain/Snow : Water"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",How does a pressure tank work?,Chemical Engineering,"A chemical reaction produces a gas.
The gas accumulates in a container.
The gas is stored in the container until it reaches a certain pressure.
The pressure causes the gas to be released from the container.
The gas is used in a chemical process or released into the atmosphere.","water : gas
evaporation : chemical reaction
clouds : container
rain/snow : pressure"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",How does the greenhouse effect work?,Physics,"Light from the sun enters the atmosphere.
The light is scattered and reflected off of the particles in the atmosphere.
The light is then absorbed by the Earth's surface and converted into heat energy.
The heat energy is then radiated back into the atmosphere where it is trapped by gases and re-emitted back towards the Earth's surface.
This process is known as the greenhouse effect.","Water : Light
Earth : Atmosphere
Clouds : Particles
Rain or snow : Heat Energy"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",What happens during cellular respiration?,Biology,"Organisms take in oxygen through their lungs or gills.
The oxygen is transported throughout the body.
Oxygen enters the cells and combines with glucose to form energy in the form of ATP.
Carbon dioxide is produced as a byproduct of this reaction.
The carbon dioxide is exhaled out of the organism.","Water : Oxygen
Evaporation : Lungs or gills
Clouds : Cells
Rain or snow : ATP
Heavy clouds : Carbon dioxide"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",What happens during a precipitation reaction?,Chemistry,"A chemical reaction takes place in the atmosphere.
The reactants combine to form new molecules.
The molecules accumulate in the sky.
The molecules become heavier and form clouds.
The clouds become saturated and precipitation occurs.
The precipitation returns the new molecules to the earth.","water : reactants
evaporation : chemical reaction
sky : atmosphere
clouds : molecules
rain or snow : precipitation"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How is electricity transported across the power grid?,Electrical Engineering,"Electricity is generated in one location.
The electricity travels along power lines.
The electricity is converted into different voltage when it passes through transformers.
The electricity is sent to different locations through power lines.
The electricity is converted back to the original voltage at the end of its journey.","Sediment : Electricity
Gravity : Generated in one location
Wind or Water : Power lines
Travels : Converted into different voltage
Deposited : Sent to different locations"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How does a conveyor belt work?,Mechanical Engineering,"A wheel rotates, driven by an engine.
The wheel picks up items along its path.
The wheel transports the items to a new location.
The wheel is then rotated by the engine in the opposite direction,
picking up new items and transporting them to the next location.
The wheel can repeat this process over and over, carrying items further and further away.","Sediment : items
Gravity : wheel
Wind or water : engine
Deposit : new location"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How is a mixture transported through a pipeline?,Chemical Engineering,"Chemicals are poured into a container.
The chemicals mix together, forming a solution.
The solution is transported through a pipeline.
The pipeline carries the solution to a new location.
The solution is then poured out of the pipeline into a new container.
The chemicals separate out of the solution, forming a mixture.
The mixture is then transported further with the new wind or water.","Sediment : Chemicals
Gravity : Container
Wind or Water : Pipeline
New Locations : New Container"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How does heat transfer from the sun to Earth?,Physics,"Heat from the sun is absorbed by the earth.
The heat escapes from the earth and moves through the atmosphere.
As the heat travels, it is carried by air currents and water vapor.
The heat is then dissipated and deposited at different locations on the earth.","Sediment : Heat
Gravity : Sun
Wind or Water : Air Currents and Water Vapor
Deposited : Dissipated"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How are seeds transported across the Earth?,Biology,"Seeds are dispersed by animals or by wind.
The seeds settle in a place due to gravity.
The seeds take root and begin to grow.
The plants spread their seeds, which are then picked up by wind or animals.
The seeds travel along the same route as the wind or animals.
The seeds are deposited at new locations by the wind or animals.
The seeds are picked up again by new wind or animals.
The seeds travel further.
The seeds are deposited again in a new place.","Sediment : Seeds
Wind or water : Wind or animals"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How do molecules move in a chemical environment?,Chemistry,"A molecule of a substance is placed in a certain environment.
The molecule is affected by the forces of attraction and repulsion within the environment.
The molecule is moved by the forces of the environment.
The molecule is eventually deposited in a new environment where it is affected by the forces of attraction and repulsion within the new environment.
The molecule is moved again by the forces of the new environment, and is eventually deposited in a new place.","Sediment : Molecule
Gravity : Forces of Attraction and Repulsion
Wind or Water : Forces of Environment"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How does a spark gap form?,Electrical Engineering,"Electricity enters a circuit.
The electricity passes through a resistor.
The resistance causes the electricity to heat up.
The heat causes the resistor to expand.
The expansion causes the resistor to break down, creating a short circuit.
This short circuit causes sparks to fly, creating a spark gap.
The spark gap erodes the material around it, creating a valley in the circuit.","rocky area : circuit
precipitation : electricity
stream : resistor
river : heat
erosion : expansion
valley : short circuit"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How does a milling machine work?,Mechanical Engineering,"A large piece of material is placed in a machine. 
The machine uses a cutting tool to shape and form the material.
The tool is positioned in different angles and depths to create the desired shape.
The machine is then able to cut the material into the desired shape.","Rocky area : material
Elevation : machine
Stream : cutting tool
River : position of the tool
Eroded area : desired shape"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How is a vacuum formed?,Chemical Engineering,"A chemical reaction takes place in a container.
The reaction causes one of the reactants to be consumed.
This causes a decrease in the volume of the container.
When the volume decreases, it creates a vacuum.
This vacuum causes the pressure inside the container to drop.
The decreased pressure causes the container to expand.
As the container expands, it creates an indentation in the material it is made of.","Rocky area: Container
Higher elevation: Reactant
Stream : Decrease in Volume
River : Vacuum
Erodes : Pressure Drop
Deeply into the rock : Expansion"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How do winds shape the landscape?,Physics,"Heat from the sun warms the air.
The warm air rises and is replaced by cooler air.
The cooler air creates areas of low pressure.
The areas of low pressure attract winds which then flow towards the area.
As the winds move over the earth, they erode the land, creating valleys.","Rocky area : earth
Higher elevation : area of low pressure
Precipitation : heat from the sun
Stream : winds
River : erode"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How do plants create valleys?,Biology,"A seed is planted in the soil.
The seed absorbs water from the soil and begins to grow.
The seedling produces roots that spread out, absorbing more and more water.
The roots burrow deep into the soil, loosening and eroding the soil particles.
This erosion over time creates a depression in the soil, forming a valley.","Large rocky area : soil
Higher elevation : seed
Precipitation : water
Stream : seedling
River : roots
Eroded area : soil particles"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How is chemical erosion of rocks caused by precipitation?,Chemistry,"A chemical reaction produces a gas.
The gas rises and condenses in a cooler area.
The condensation forms a liquid.
The liquid evaporates and is carried away by the wind.
The liquid then falls to the ground as precipitation.
The precipitation reacts with the surrounding rocks and dissolves them.
The dissolved rock is then carried away by the water, forming a valley.","large rocky area : chemical reaction
higher elevation : cooler area
stream : liquid
river : wind
erode : precipitation
deeply into rock : rocks"
