source_id,source_subject,source_text,target_subject,target_text,target_mappings
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",What is the greenhouse effect?,"Gases, such as carbon dioxide and methane, are released into the atmosphere by natural processes or man-made activities.
These gases absorb heat from the Sun.
The gases become warmer, creating a layer of warm air that keeps heat trapped inside the atmosphere.
This is known as the greenhouse effect.
The warm air creates wind and rain, which helps to regulate the Earth's temperature.","water : gases
oceans, lakes, rivers, swamps, and plants : natural processes and man-made activities
water vapor : warm air
clouds : atmosphere
rain or snow : wind and rain"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",What happens during the hydrologic cycle? ,"Heat from the sun causes water to evaporate from oceans, lakes, rivers, swamps, and plants.
The water vapor then rises and cools in the atmosphere, forming clouds.
The clouds then condense and release precipitation, such as hail, snow, or rain.
Some of the precipitation is absorbed into the ground, eventually becoming part of the groundwater.
The rest of the precipitation flows into rivers and eventually returns to the oceans.","Water : Heat
water vapor : water vapor
droplets : clouds
rain or snow : precipitation
ground : ground
streams : rivers"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",What happens during the mineral cycle?,"Minerals are found in the earth's crust.
These minerals are released through weathering and erosion.
The minerals are carried by water and air to the ocean.
The minerals accumulate in the ocean and are then consumed by organisms.
Through respiration and decay, the minerals are released back into the atmosphere.
The minerals are carried by the wind and eventually settle back onto the earth's surface.","Water : minerals
Evaporates : released
Sky : atmosphere
Clouds : carried by wind
Rain or snow : settle back onto the earth's surface"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",What happens during the heat cycle?,"Heat is on the earth in the atmosphere, the oceans, and living creatures.
Heat radiates from the earth.
Heat accumulates in the sky.
The heat is trapped in the atmosphere by gases like CO2.
This causes temperatures to rise and large amounts of heat to become trapped in the atmosphere.
The heat is eventually released back to the earth as infrared radiation or in the form of storms.","Water : heat
Evaporates : radiates
Clouds : atmosphere
Rain or snow : infrared radiation"
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",What happens during the atmospheric cycle?,"Heat from the sun enters the atmosphere through radiation.
The heat is absorbed by the surface of the Earth,
causing air molecules to rise as hot air.
As the air rises, it cools and condenses, forming clouds.
When the clouds become too heavy, the water droplets inside them fall as precipitation.
The precipitation can be in the form of rain, snow, hail, or sleet.
The water is eventually absorbed by the ground, evaporates, or runs off into bodies of water.","water : heat
oceans, bodies of water, living creatures : atmosphere
evaporates : radiation
clouds : hot air
rain or snow : precipitation"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How is a seed transported across the Earth?,"A seed is released from its parent plant.
It is carried away by the wind or an animal.
The seed travels along the same route as the wind or animal.
The seed is deposited at new locations by the wind or animal.
The seed is picked up again by new wind or an animal.
The seed travels further.
The seed is deposited again in a new place.","Sediment : seed
Gravity : wind or animal
Small particles : seed"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How does heat travel across the Earth?,"Heat rises up in the atmosphere.
The heat is then moved by wind currents.
The wind carries the heat in a certain direction.
The heat is then deposited in a new location.
The wind then picks up new heat and carries it to another location.
This process is repeated until the heat is eventually dissipated.","Sediment : heat
Gravity : rises up in the atmosphere
Wind or water : wind currents
Deposited : deposited"
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",How is moisture transported across the Earth?,"Air masses move across the Earth due to the Earth's rotation.
The air masses pick up moisture from the ocean and other sources.
The air masses transport the moisture over large distances.
The moisture is deposited in new places when the air masses reach cooler temperatures.
The air masses start to rise again, and the process is repeated.","Sediment : moisture
Wind or water : air masses
Deposited : deposited"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How are sand dunes formed?,"A large area of sand dunes is formed.
The area has a higher elevation compared to the surrounding areas.
Wind blows consistently over the area.
The wind moves the sand and creates dunes.
The dunes are constantly shifting due to the wind.
The dunes become higher and higher over time.
The dunes erode the sand and create deep trenches. ","rocky area : sand dunes
water : wind
stream : shifting sand
river : higher and higher dunes
eroded area : deep trenches"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How are sand dunes formed?,"A large desert area is formed.
The desert area has higher temperatures than the surrounding areas.
The atmosphere is dry and there is little to no moisture.
Wind starts to blow from the north, creating a sand dune.
The sand dune builds up over time due to the constant wind.
The sand dune becomes a large sand hill.
The wind continues to blow and erode the sand hill.
The eroded area creates a steep slope.","Rocky area : desert area
Stream : wind
River : sand dune
Eroded area : eroded area"
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",How are deserts formed?,"A large desert area is formed.
The desert is surrounded by mountains and other areas with higher elevation.
Sunlight is abundant in the area.
Wind blows away the sand and dust particles.
The wind continues to blow in the same direction for a long time.
The wind erodes the desert that it touches.
The eroded area creates a vast desert plain.","rocky area : desert area
stream : wind
river : blowing sand and dust particles
erode : erode"
31,How do caverns form?,"Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves.",How do sand dunes form?,"Wind picks up sand particles.
The wind carries the sand particles to different locations.
The wind drops the sand particles in places with high wind speeds.
The sand particles pile up in places where the wind is blocked by obstacles or gets deflected.
The sand particles pile up and form sand dunes.
Wind continues to carry sand particles and add to the dunes with more sand over time.
The sand dunes sometimes form a dome-like shape with a hollow center.","Limestone : sand particles
Acid : wind
Eroded limestone : sand dunes
Caves : dome-like shape with a hollow center"
31,How do caverns form?,"Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves.",How do sandstone arches form? ,"Sandstone is located under the soil.
Wind picks up dust particles as it moves across the land.
The wind blows against the soil over the sandstone.
The dust particles in the wind blow through the soil.
The dust particles act like abrasive sandpaper.
The sandpaper in the wind wears down the sandstone below the soil.
The sandpaper continues to erode the sandstone with more wind over time.
The eroded sandstone sometimes forms sandstone arches.","
Limestone : sandstone
Acid : dust particles
Caves : sandstone arches"
31,How do caverns form?,"Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves.",How do caverns form?,"Granite is beneath the surface of the earth.
Rainwater picks up carbon dioxide as it falls from the sky.
The rain falls on the ground above the granite.
The carbon dioxide in the water filters through the soil.
The carbon dioxide turns into acid.
The acid in the water reaches the granite below the ground.
The acid breaks down the granite.
The acid continues to erode the granite as it gets more rain over time.
The eroded granite can create caverns.","Limestone : Granite
soil : ground
acid : acid"
34,How does igneous rock form?,"Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies.",How does sedimentary rock form?,"Sedimentary rocks are formed when sand, silt, and clay are carried away by water and deposited in layers.
The sediment is gradually compressed and cemented together.
The sediment is then hardened into rock over time.
Organisms like shells and bones are sometimes preserved in the sedimentary rock.
The pressure and heat of the layers of sediment cause the sediment to change into sedimentary rock.","Magma : sand, silt, and clay
Lava : sediment
Hard rock : sedimentary rock"
34,How does igneous rock form?,"Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies.",How do metamorphic rocks form?,"Metamorphic rocks are formed by heat and pressure.
Pressure and heat cause the rock to deform and deform the mineral composition of the rock.
The mineral composition changes and new minerals form as the rock is heated and compressed.
The newly formed minerals are held together by a process called recrystallization.
The rock hardens and becomes more dense, forming a new kind of rock.","Magma : pressure and heat
Lava : rock
Solidifies : recrystallization"
34,How does igneous rock form?,"Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies.",How does metamorphic rock form? ,"Metamorphic rocks form when existing rocks are subjected to high pressure and temperature.
This pressure and temperature causes the minerals in the existing rocks to be reorganized and new minerals to be formed.
This process may take a few million years and results in the formation of a new rock that is different from the existing rock. ","Magma : existing rocks
Lava : high pressure and temperature
Hard rock : new rock"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does an aquifer form?,"Water passes through rocks and soil.
The water is filtered and trapped in the ground.
The water builds up creating a pool.
The pool of water is heated by the Earth's core.
The heated water evaporates, rises, and cools in the atmosphere.
The cooled water returns to Earth in the form of rain.
The rain accumulates and is filtered into the ground to form an aquifer.","Rocks and magma : rocks and soil
Lava : water
Igneous rock : aquifer"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does sedimentary rock form?,"Organic matter builds up in the soil.
Heat and pressure from the Earth's mantle is applied to the organic material.
The organic material is broken down and chemically altered.
The new material is compressed and forms sedimentary rock.
The sedimentary rock is heated and the pressure increases.
The rock is then metamorphosed and forms metamorphic rock. ","Magma : organic matter
Crust : soil
Lava : heat and pressure
Igneous rock : sedimentary rock"
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",How does coal form?,"Organic matter accumulates in swamps and bogs.
The organic matter is compressed by overlying layers of soil.
The organic matter slowly breaks down, due to anaerobic conditions.
Over time, the organic matter transforms into chemical compounds such as methane, ethane and propane.
The chemical compounds then undergoes a process of compression and heat, transforming into coal.","Rocks : organic matter
Magma : chemical compounds
Lava : coal"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does sedimentary rock form?,"Sand is eroded by wind and water.
The sand is transported to the ocean.
The sand undergoes changes in pressure.
The sand undergoes changes in temperature.
The sand is compressed over time.
The sand solidifies.
The sand crystallizes.
Sedimentary rock is formed.","Magma : sand
Volcano : wind and water
Igneous Rock : Sedimentary Rock"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does glass form?,"Sand is moved by wind and water.
The sand undergoes changes in pressure.
The sand is compressed.
The sand is heated.
The sand is melted.
The sand crystallizes.
Glass is formed.","Magma : sand
Temperature : pressure
Cool : compress
Solidify : heat
Crystallize : melt"
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",How does sedimentary rock form?,"Weathering and erosion occur to rocks on the surface of the Earth.
The rocks break down into smaller pieces due to the effects of wind, water, and temperature.
The smaller pieces are carried away by rivers and streams.
The pieces are transported to the sea where they settle on the ocean floor.
The pieces are compressed and cemented together by pressure and sediment.
The sediment and pressure form sedimentary rock.","Magma : rocks
Temperature : wind, water, temperature
Pressure : pressure and sediment
Crystallizes : cemented together
Igneous rock : sedimentary rock"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes an earthquake to occur?,"The Earth's plates move and grind against each other.
The plates become stuck at some points and the tension builds up.
Eventually, the pressure becomes too great and the plates slip, releasing energy.
This energy is released as seismic waves, causing an earthquake.","Cracks : plates
Pressure : tension
Movement : slip
Rocks : energy"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes an earthquake to occur?,"The tectonic plates move against each other beneath the surface of the earth.
As they move, they press against each other, building up extreme pressure.
The pressure causes the plates to stick together in some places.
Eventually, the pressure becomes too great and the plates slip and move against each other.
The sudden movement of the plates releases a large amount of energy, creating seismic waves that travel through the earth, causing an earthquake.","Cracks : tectonic plates
Pressure : pressure
Movement : movement
Rocks : plates
Energy : energy
Seismic waves : seismic waves"
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",What causes a thunderstorm to occur?,"The atmosphere develops storms deep in the sky.
The storms get very large and powerful in some places.
The atmosphere places pressure against the air on both sides of the storm.
The pressure causes the air to press against each other very hard.
The storms continue to develop.
The atmosphere moves against itself on both sides of the storm.
The pressure and movement around the storm causes the air to heat in some places.
A lot of energy is released.
The energy causes shock waves.
The shock waves move the atmosphere in a thunderstorm.","Cracks : storms
Earth : atmosphere
Rocks : air
Seismic waves : shock waves
Earthquake : thunderstorm"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does snow form?,"Snowflakes form when water vapor rises in the atmosphere and is cooled to the point that it condenses and freezes.
The water vapor forms tiny crystals of ice.
The crystals form into snowflakes as they move through the atmosphere.
The snowflakes become heavier and eventually fall to the ground when the air is cooled even further.","Oceans, lakes, rivers : water vapor
Sun : atmosphere
Water evaporates : condenses and freezes
Steam, invisible vapor : tiny crystals of ice
Clouds : snowflakes
Rain : snow"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does hail form?,"Deserts, mountains, and plains contain sand.
The sun heats up the sand.
The sand evaporates from the heat.
The sand moves to the sky as dust or as invisible particles.
The dust forms clouds in the sky.
The clouds become larger as they are filled with more dust.
The air is cooled.
Dust forms particles in the clouds.
The particles fall to earth as hail.","water : sand
steam : dust
droplets : particles
rain : hail"
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",How does snow form?,"Snow forms in the atmosphere when the temperature is low and moisture is available.
Moisture from the air is cooled to a point where it condenses into tiny droplets of water.
The droplets then freeze into ice crystals and become part of a cloud.
As the cloud continues to grow, the ice crystals combine and become larger and heavier, eventually falling from the sky as snow.","water : moisture
steam : tiny droplets of water
clouds : cloud
water droplets : ice crystals
rain : snow"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does a solar panel work?,"Sunlight is directed towards a solar panel.
The solar panel converts the sunlight into electricity.
The electricity is sent to a battery.
The battery stores the electricity.
The electricity is then used to power a device.","Water vapor : sunlight
Clouds : solar panel
Water droplets : electricity
Gravity : battery"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does rain form?,"Heat from the sun causes the air around the earth to rise.
As the air rises it cools, forming clouds.
As the air continues to rise, the clouds become bigger and bigger.
The droplets within the clouds combine and grow larger.
The droplets get heavy enough to fall out of the clouds as rain.","Water evaporates : heat from the sun
Water droplets : air
Clouds : clouds
Gravity : droplets"
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",How does snow form?,"Heat from the Sun radiates to the Earth.
The heat rises up and warms the air.
The warmer air rises and cools.
The moisture in the air condenses to form droplets.
The droplets combine and become larger.
Gravity pulls the droplets down to the ground.","Water : heat
Evaporation : radiates
Droplets : moisture
Clouds : air
Gravity : gravity"
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",What happens during an earthquake?,"Pressure builds up in the Earth's crust.
Earthquakes occur as the pressure is released.
The shock waves of the earthquake cause disturbances in the environment.
The earthquake can last for a long time in some cases.
The pressure is eventually released and the earthquake stops.
Aftershocks can cause problems for a long time after the initial earthquake.","Volcano : Earth's crust
Lava : shock waves
Ash clouds and rocks : aftershocks"
